Team Code	Game Code	Rush Att	Rush Yard	Rush TD	Pass Att	Pass Comp	Pass Yard	Pass TD	Pass Int
312	312042820130928	45	246	1	25	15	218	1	1
312	416031220131005	16	23	0	46	26	241	2	2
312	312051820131019	27	130	0	34	19	245	3	1
312	509031220131026	41	136	1	27	19	169	1	1
312	796031220131102	32	110	0	40	16	179	0	2
312	312055920131109	52	318	3	20	12	191	2	0
312	418031220131123	44	168	1	30	19	239	2	3
312	312046320131129	44	155	3	17	9	126	2	0
312	312036520140101	37	76	1	30	13	157	1	2
327	493032720130830	23	41	1	29	21	280	2	2
327	671032720130907	37	149	4	34	23	305	0	2
327	400032720130914	46	329	2	12	7	127	2	1
327	327070320130921	38	115	3	30	19	275	0	0
327	327052120131005	38	144	1	28	18	192	2	3
327	51032720131012	58	327	3	22	10	118	0	1
327	768032720131026	43	157	1	21	18	291	4	0
327	311032720131102	48	226	4	20	13	221	1	0
327	327070020131109	45	291	5	11	7	76	1	0
327	698032720131116	35	154	1	29	13	257	2	1
327	522032720131123	22	24	1	29	17	348	3	2
327	327032820131130	45	208	2	21	10	160	2	1
327	418032720131228	36	149	1	28	21	271	3	0
328	650032820130907	50	280	3	20	10	110	1	0
328	328057420130914	35	100	1	29	14	170	1	2
328	366032820130921	33	117	0	46	28	279	1	2
328	700032820131005	37	53	0	35	18	220	2	1
328	328069820131012	34	46	0	26	13	152	1	1
328	522032820131019	39	185	2	13	5	16	1	0
328	51032820131026	50	154	1	33	11	154	1	0
328	328070320131102	36	140	1	23	12	166	0	0
328	328052120131109	49	202	0	25	10	114	0	1
328	768032820131116	54	315	4	12	5	61	0	0
328	328031120131123	41	187	0	31	11	92	0	1
328	327032820131130	38	72	0	36	17	151	1	4
331	355033120130829	49	167	0	28	21	194	2	0
331	71033120130907	28	138	1	28	15	164	2	0
331	331036520130914	32	58	1	29	20	190	0	0
331	331053920130921	24	56	0	36	17	134	0	1
331	331077420130928	47	276	2	30	17	176	2	1
331	503033120131005	24	147	0	37	17	245	2	1
331	331004720131012	46	223	1	30	20	184	2	1
